Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Knight, Rodney E","Simon Fraser University (Burnaby, B.C.)",Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,Treating and preventing viral hepatitis C in HIV-positive men who have sex with men and people who inject drugs,"                 $15,000","                      $0","1 yr 0 mth "
"Knight, Rodney E",Direct Payment,Travel Awards - Institute Community Support,201405ISU,ASPHER Annual Young Researcher's Forum - IPPH,"Context, Heterogeneity and Large-Scale Interventions: Scaling up Antiretroviral HIV Treatment as Prevention in Canada, France and Brazil","                  $2,500","                      $0","0 yr 3 mths "
"Knight, Rodney E","Simon Fraser University (Burnaby, B.C.)",Fellowship - Prize: Knowledge to Action Knowledge Translation Supplement,201311FKA,Health Research Training A - Post-PhD (HTA),Implementation and ethical dimensions of scaling up HIV Treatment as Prevention: Examining the experiences of vulnerable populations,"                  $8,000","                      $0","1 yr 0 mth "
"Knight, Rodney E","Simon Fraser University (Burnaby, B.C.)",CIHR Fellowship,201311MFE,Health Research Training A - Post-PhD (HTA),Implementation and ethical dimensions of scaling up HIV Treatment as Prevention: Examining the experiences of vulnerable populations,"                $143,000","                      $0","3 yrs 0 mth "
"Knight, Rodney E",University of British Columbia,Doctoral Research Award - Priority Announcement: HIV/AIDS Research (SHOPP),201010DHI,Doctoral Research Awards - B,Young men and online STI/HIV testing services,"                 $72,000","                      $0","3 yrs 0 mth "
"Knight, Rodney E",University of British Columbia,Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards B,"Social Capital, Gender and Place: Examining the social determinants of sexual minority youth sexual health in British Columbia","                 $17,500","                      $0","1 yr 0 mth "
"Knight, Rodney E",University of British Columbia,Op Grant: COVID-19 Rapid Research FO - Social Policy and Public Health Responses,202005VR5,COVID-19 Rapid Research - Social Policy and Public Health Responses,Assessing the impact of the COVID-19 pandemic on social and health outcomes among young people: A mixed-method comparative analysis in Canada and France,"                $187,064","                      $0","1 yr 0 mth "
"Knight, Rodney E; Ferlatte, Olivier",University of British Columbia,Project Grant,202010PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Identifying the impact of cannabis use on mental health outcomes  among sexual and gender minority youth: A mixed-methods study,"                $478,126","                      $0","3 yrs 0 mth "
"Knight, Rodney E","Simon Fraser University (Burnaby, B.C.)",Planning and Dissemination Grant - Institute Community Support,201702PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,Establishing a Canada-France research collaboration to reduce drug- and sexual-related harms among HIV-positive and -negative MSM,"                 $20,000","                      $0","1 yr 0 mth "
"Knight, Rodney E; Johnson, Cheyenne H; Jauffret-Roustide, Marie",University of British Columbia,"Op Gr:Understanding/mitigating impacts of COVID-19 on children, youth & families",202107UIP,"Understanding/mitigating impacts of COVID-19 on children, youth & families",FOCUS on Adolescents: A mixed-methods study to optimize COVID-19 recovery and renewal efforts among adolescents in Canada and France,"                $112,465","                      $0","1 yr 0 mth "
"Knight, Rodney E; Fast, Danya",University of British Columbia,Project Grant,202104PJT,Social & Developmental Aspects of Children's & Youth's Health,Side by Side: Identifying strategies to address the health and social needs of youth who use stimulants,"                $512,550","                      $0","3 yrs 0 mth "
"Knight, Rodney E; Narayan, Priti",University of British Columbia,Operating Grant - HIV/AIDS CBR Program - General,202104CBR,HIV/AIDS and STBBI Community-Based Research (General stream) Merged,"The impact of displacement on health among people living with HIV in Vancouver, Canada","                $447,136","                      $0","3 yrs 0 mth "
"Knight, Rodney E",University of British Columbia,Operating Grant: SARS-CoV-2 variants supplement stream 1,202102VS1,Special Cases,COVID-19 Variant Supplement - Assessing the impact of the COVID-19 pandemic on social and health outcomes among young people: A mixed-method comparative analysis in Canada and France,"                 $50,000","                      $0","1 yr 0 mth "
"Knight, Rodney E; Jauffret-Roustide, Marie",Université de Montréal,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,"Psychosocial, Sociocultural & Behavioural Determinants of Health","A FOCUS on youth mental health and substance use-related outcomes, inequities and trajectories during COVID-19 and beyond: A mixed-methods study in Canada and France","                $100,000","                      $0","1 yr 0 mth "
"Knight, Rodney E",University of British Columbia,Planning and Dissemination Grant - Institute Community Support,202202PCS,Planning and Dissemination - IPPH - Social Science for Population Health,Establishing an international research and policy collaborative to improve health outcomes for sexual minority men who use poppers (alkyl nitrites),"                 $18,354","                      $0","1 yr 0 mth "
"Kobayashi, Lindsay C",Dalhousie University (Nova Scotia),CIHR Fellowship,201511MFE,Health Research Training A - Post-PhD (HTA),Advancing understanding of 'healthy aging' to support the health of Canada's older population,"                 $90,000","                      $0","2 yrs 0 mth "
"Kobor, Michael S",University of British Columbia,"Team Grant: DOHaD - Implications for Men, Women, Boys and Girls - LOI",201504MWB,"Team Grant: DOHaD - Implications for Men, Women, Boys and Girls - LOI",Prenatal Programming of Children's Mental Health: Epigenetic Mechanisms and Resilience Promotion,"                 $10,000","                      $0","1 yr 0 mth "
"Kobor, Michael S; Rehkopf, David H",University of British Columbia,Project Grant,201603PJT,Project Grant Competition,Epigenetic Signatures of Successful Aging,"              $1,097,060","                      $0","5 yrs 0 mth "
"Kobor, Michael S",University of British Columbia,"Team Grant: DOHaD - Implications for Men, Women, Boys and Girls",201511MWG,"Team Grant: DOHaD - Implications for Men, Women, Boys and Girls",Prenatal Programming of Children's Mental Health: Epigenetic Mechanisms and Resilience Promotion,"              $1,500,000","                      $0","5 yrs 0 mth "
"Kobor, Michael S",University of British Columbia,Project Grant,202003PJT,Social & Developmental Aspects of Children's & Youth's Health,Childhood Epigenetic Age Deviations and Developmental Differences (CEAD3),"              $1,067,176","                      $0","5 yrs 0 mth "
"Kobor, Michael S; Henderson, Sarah",University of British Columbia,Project Grant - Priority Announcement: Health and Climate Change,202309LIM,"Public, Community & Population Health","Prenatal Exposure to Wildfire Disasters and their Association with Early Childhood Health, Development, and Epigenetics","                      $0","                      $0","1 yr 0 mth "
"Koehoorn, Mieke W",University of British Columbia,"Chair: Gender, Work and Health",201210CGW,"Chair: Gender, Work and Health","Chair:  Gender, Work and Health","                $800,000","                      $0","5 yrs 0 mth "
"Koehoorn, Mieke W",University of British Columbia,Operating Grant,201203MOP,"Gender, Sex & Health","Gender, Sex and Work Injury, Illness and Disability","                $436,884","                      $0","3 yrs 0 mth "
"Koehoorn, Mieke W",University of British Columbia,Project Grant,201610PJT,Project Grant Competition,Immigration and work disability in the Canadian context,"                $340,426","                      $0","3 yrs 0 mth "
"Kolen, Krishna A",University of Saskatchewan,Doctoral: Vanier Canada Graduate Scholarships,202311CGV,Vanier Canada Graduate Scholarships CIHR,Developing an early warning tool: Braiding Indigenous and Western science to mitigate differential exposure to and reduce health risks of drought-induced poor air quality,"                $150,000","                      $0","3 yrs 0 mth "
"Koleva, Petya T",University of Alberta,Travel Awards - Institute Community Support,201501ISU,"Institute of Human Development, Child and Youth Health",Fetal programming and infant gut microbiome - towards life-long health,"                  $1,000","                      $0","1 yr 0 mth "
"Kolla, Gillian",University of Toronto,Travel Awards - Institute Community Support,201802ISU,CPHA Conference,Impacts of an Unsanctioned Overdose Prevention Site in Toronto: A Preliminary Analysis,"                  $1,500","                      $0","1 yr 0 mth "
"Kolstad, Ash T",University of Calgary,Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - B,Protective equipment in Canadian high school athletes: Can mouthguards and optimal helmet fit prevent sport-related concussions in youth collision sport?,"                $105,000","                      $0","3 yrs 0 mth "
"Koné Péfoyo, Anna J","Lakehead University (Thunder Bay, Ontario)",Travel Awards - Institute Community Support,201701ISU,Starting Investigors Workshop - IPPH,The burden and complexity of multimorbidity. Impacts on special populations and complex patients' health trajectories and outcomes.,"                  $1,500","                      $0","1 yr 0 mth "
"Konsmo, Erin M","York University (Toronto, Ontario)",Master's Award - HIV/AIDS Community-Based Research: Aboriginal Stream,201104CBD,HIV/AIDS Community-Based Research - Aboriginal Stream,Environmental/Land Justice for Métis Women & Youth as HIV Prevention,"                 $17,500","                      $0","1 yr 0 mth "
"Kontak, Julia C",Dalhousie University (Nova Scotia),Travel Awards - Institute Community Support,201501ISU,CPHA Conference,A picture is worth a thousand words: Examining school-based health environments through photographs,"                  $1,500","                      $0","1 yr 0 mth "
